L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_pop,exposed_pop,percent_exposed,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,22586.975,22586.975,100.0,2.0,Member State,AFG,ND,2012
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,98482.875,98482.875,100.00001,2.0,Member State,AFG,ND,2012
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,66013.63,66013.63,100.0,2.0,Member State,AFG,ND,2012
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,96647.61,96647.61,100.0,2.0,Member State,AFG,ND,2012
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,223443.72,223443.72,100.0,2.0,Member State,AFG,ND,2012
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,23489.111,23489.111,100.00001,2.0,Member State,AFG,ND,2012
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,172441.12,172441.12,100.0,2.0,Member State,AFG,ND,2012
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,60078.277,60078.277,99.99999,2.0,Member State,AFG,ND,2012
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,96495.6,96495.6,100.0,2.0,Member State,AFG,ND,2012
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,31432.152,31432.152,100.0,2.0,Member State,AFG,ND,2012
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,32554.246,32554.246,100.0,2.0,Member State,AFG,ND,2012
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,138180.58,138180.58,100.0,2.0,Member State,AFG,ND,2012
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,44186.504,44186.504,100.0,2.0,Member State,AFG,ND,2012
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,59636.156,59636.156,100.0,2.0,Member State,AFG,ND,2012
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,65038.51,65038.51,100.0,2.0,Member State,AFG,ND,2012
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,180309.72,180309.72,100.0,2.0,Member State,AFG,ND,2012
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,42250.35,42250.35,100.0,2.0,Member State,AFG,ND,2012
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,40190.566,40190.566,100.0,2.0,Member State,AFG,ND,2012
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,194235.9,194235.9,100.0,2.0,Member State,AFG,ND,2012
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,21576.402,21576.402,100.0,2.0,Member State,AFG,ND,2012
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,91502.04,91502.04,100.0,2.0,Member State,AFG,ND,2012
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,55051.67,55051.67,100.0,2.0,Member State,AFG,ND,2012
AFG119,AFG1,Afghanistan,AFG9,Ghazni,Nawa,33706.785,33706.785,100.0,2.0,Member State,AFG,ND,2012
AFG12,AFG1,Afghanistan,AFG1,Badakhshan,Khwahan,19643.053,19643.053,100.0,2.0,Member State,AFG,ND,2012
AFG120,AFG1,Afghanistan,AFG9,Ghazni,Nawur,107310.2,107310.2,100.0,2.0,Member State,AFG,ND,2012
AFG121,AFG1,Afghanistan,AFG9,Ghazni,Qarabagh,167441.98,167441.98,100.0,2.0,Member State,AFG,ND,2012
AFG122,AFG1,Afghanistan,AFG9,Ghazni,Rashidan,19798.021,19798.021,100.0,2.0,Member State,AFG,ND,2012
AFG123,AFG1,Afghanistan,AFG9,Ghazni,Waghaz,41695.684,41695.684,100.0,2.0,Member State,AFG,ND,2012
AFG124,AFG1,Afghanistan,AFG9,Ghazni,Wali Muhammad-e- Shahid,19521.797,19521.797,100.0,2.0,Member State,AFG,ND,2012
AFG125,AFG1,Afghanistan,AFG9,Ghazni,Zana Khan,14442.544,14442.544,100.0,2.0,Member State,AFG,ND,2012
AFG126,AFG1,Afghanistan,AFG10,Ghor,Chaghcharan,161983.5,161983.5,100.0,2.0,Member State,AFG,ND,2012
AFG127,AFG1,Afghanistan,AFG10,Ghor,Chahar Sadra,31996.154,31996.154,100.0,2.0,Member State,AFG,ND,2012
AFG128,AFG1,Afghanistan,AFG10,Ghor,Dawlat Yar,40020.73,40020.73,100.0,2.0,Member State,AFG,ND,2012
AFG129,AFG1,Afghanistan,AFG10,Ghor,Du Lina,45536.574,45536.574,100.0,2.0,Member State,AFG,ND,2012
AFG13,AFG1,Afghanistan,AFG1,Badakhshan,Kof Ab,27218.934,27218.934,99.99999,2.0,Member State,AFG,ND,2012
AFG130,AFG1,Afghanistan,AFG10,Ghor,Lal Wa Sarjangal,133150.94,133150.94,100.0,2.0,Member State,AFG,ND,2012
AFG131,AFG1,Afghanistan,AFG10,Ghor,Pasaband,113725.67,113725.67,100.0,2.0,Member State,AFG,ND,2012
AFG132,AFG1,Afghanistan,AFG10,Ghor,Saghar,41776.863,41776.863,100.0,2.0,Member State,AFG,ND,2012
AFG133,AFG1,Afghanistan,AFG10,Ghor,Shahrak,70290.195,70290.195,100.0,2.0,Member State,AFG,ND,2012
AFG134,AFG1,Afghanistan,AFG10,Ghor,Taywarah,110111.734,110111.734,99.99999,2.0,Member State,AFG,ND,2012
AFG135,AFG1,Afghanistan,AFG10,Ghor,Tolak,61023.668,61023.668,100.0,2.0,Member State,AFG,ND,2012
AFG136,AFG1,Afghanistan,AFG11,Hilmand,Baghran,96942.49,96942.49,100.0,2.0,Member State,AFG,ND,2012
AFG137,AFG1,Afghanistan,AFG11,Hilmand,Deh shu,23897.074,23897.074,100.0,2.0,Member State,AFG,ND,2012
AFG138,AFG1,Afghanistan,AFG11,Hilmand,Garm Ser,108697.02,108697.02,100.0,2.0,Member State,AFG,ND,2012
AFG139,AFG1,Afghanistan,AFG11,Hilmand,Kajaki,83046.805,83046.805,100.0,2.0,Member State,AFG,ND,2012
AFG14,AFG1,Afghanistan,AFG1,Badakhshan,Kohistan,17760.527,17760.527,100.0,2.0,Member State,AFG,ND,2012
AFG140,AFG1,Afghanistan,AFG11,Hilmand,Lashkar Gah,157725.94,157725.94,100.0,2.0,Member State,AFG,ND,2012
AFG141,AFG1,Afghanistan,AFG11,Hilmand,Musa Qaleh,69843.53,69843.53,100.0,2.0,Member State,AFG,ND,2012
AFG142,AFG1,Afghanistan,AFG11,Hilmand,Nad-e-Ali,159444.94,159444.94,100.0,2.0,Member State,AFG,ND,2012
AFG143,AFG1,Afghanistan,AFG11,Hilmand,Nahr-e-Saraj,132952.95,132952.95,100.0,2.0,Member State,AFG,ND,2012
AFG144,AFG1,Afghanistan,AFG11,Hilmand,Naw Zad,59137.2,59137.2,100.0,2.0,Member State,AFG,ND,2012
