L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_pop,exposed_pop,percent_exposed,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,24932.951,24932.951,99.99999,2.0,Member State,AFG,ND,2014
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,108803.27,108803.27,100.0,2.0,Member State,AFG,ND,2014
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,71627.05,71627.05,100.0,2.0,Member State,AFG,ND,2014
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,105868.56,105868.56,100.0,2.0,Member State,AFG,ND,2014
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,242089.7,242089.7,100.0,2.0,Member State,AFG,ND,2014
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,25219.232,25219.232,100.0,2.0,Member State,AFG,ND,2014
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,187343.8,187343.8,100.0,2.0,Member State,AFG,ND,2014
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,65328.203,65328.203,100.0,2.0,Member State,AFG,ND,2014
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,104791.36,104791.36,100.0,2.0,Member State,AFG,ND,2014
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,30216.02,30216.02,100.0,2.0,Member State,AFG,ND,2014
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,31310.29,31310.29,100.0,2.0,Member State,AFG,ND,2014
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,132856.19,132856.19,100.0,2.0,Member State,AFG,ND,2014
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,48872.73,48872.73,100.0,2.0,Member State,AFG,ND,2014
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,57769.14,57769.14,100.0,2.0,Member State,AFG,ND,2014
