L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_pop,exposed_pop,percent_exposed,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,20587.941,20587.941,100.0,2.0,Member State,AFG,ND,2010
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,89138.4,89138.4,100.0,2.0,Member State,AFG,ND,2010
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,60920.69,60920.69,100.0,2.0,Member State,AFG,ND,2010
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,89735.56,89735.56,100.0,2.0,Member State,AFG,ND,2010
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,205592.97,205592.97,99.99999,2.0,Member State,AFG,ND,2010
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,21726.307,21726.307,100.00001,2.0,Member State,AFG,ND,2010
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,159376.08,159376.08,100.0,2.0,Member State,AFG,ND,2010
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,55961.35,55961.35,100.0,2.0,Member State,AFG,ND,2010
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,89296.31,89296.31,100.0,2.0,Member State,AFG,ND,2010
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,32806.086,32806.086,100.0,2.0,Member State,AFG,ND,2010
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,33902.23,33902.23,100.0,2.0,Member State,AFG,ND,2010
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,144381.47,144381.47,100.0,2.0,Member State,AFG,ND,2010
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,39930.4,39930.4,100.0,2.0,Member State,AFG,ND,2010
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,61356.99,61356.99,100.0,2.0,Member State,AFG,ND,2010
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,67746.46,67746.46,100.0,2.0,Member State,AFG,ND,2010
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,188293.92,188293.92,100.0,2.0,Member State,AFG,ND,2010
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,44003.395,44003.395,100.0,2.0,Member State,AFG,ND,2010
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,42166.395,42166.395,100.0,2.0,Member State,AFG,ND,2010
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,202309.58,202309.58,100.0,2.0,Member State,AFG,ND,2010
