L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_pop,exposed_pop,percent_exposed,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,32837.77,32837.77,100.0,2.0,Member State,AFG,ND,2021
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,142946.38,142946.38,100.0,2.0,Member State,AFG,ND,2021
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,89149.555,89149.555,99.99999,2.0,Member State,AFG,ND,2021
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,132019.66,132019.66,100.0,2.0,Member State,AFG,ND,2021
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,300763.75,300763.75,100.0,2.0,Member State,AFG,ND,2021
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,31549.086,31549.086,100.0,2.0,Member State,AFG,ND,2021
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,233447.92,233447.92,100.0,2.0,Member State,AFG,ND,2021
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,80859.99,80859.99,100.0,2.0,Member State,AFG,ND,2021
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,130591.31,130591.31,100.0,2.0,Member State,AFG,ND,2021
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,26178.217,26178.217,100.0,2.0,Member State,AFG,ND,2021
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,27156.084,27156.084,100.0,2.0,Member State,AFG,ND,2021
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,114968.766,114968.766,100.0,2.0,Member State,AFG,ND,2021
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,64249.168,64249.168,100.0,2.0,Member State,AFG,ND,2021
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,49592.35,49592.35,100.0,2.0,Member State,AFG,ND,2021
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,54171.742,54171.742,99.99999,2.0,Member State,AFG,ND,2021
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,150651.83,150651.83,100.0,2.0,Member State,AFG,ND,2021
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,35345.44,35345.44,100.0,2.0,Member State,AFG,ND,2021
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,33232.953,33232.953,100.0,2.0,Member State,AFG,ND,2021
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,161511.81,161511.81,100.0,2.0,Member State,AFG,ND,2021
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,18309.904,18309.904,100.0,2.0,Member State,AFG,ND,2021
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,76439.016,76439.016,100.0,2.0,Member State,AFG,ND,2021
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,45725.414,45725.414,100.0,2.0,Member State,AFG,ND,2021
AFG119,AFG1,Afghanistan,AFG9,Ghazni,Nawa,28203.168,28203.168,100.0,2.0,Member State,AFG,ND,2021
AFG12,AFG1,Afghanistan,AFG1,Badakhshan,Khwahan,28573.428,28573.428,100.0,2.0,Member State,AFG,ND,2021
AFG120,AFG1,Afghanistan,AFG9,Ghazni,Nawur,89640.8,89640.8,100.0,2.0,Member State,AFG,ND,2021
AFG121,AFG1,Afghanistan,AFG9,Ghazni,Qarabagh,139465.61,139465.61,100.0,2.0,Member State,AFG,ND,2021
AFG122,AFG1,Afghanistan,AFG9,Ghazni,Rashidan,16528.28,16528.28,100.0,2.0,Member State,AFG,ND,2021
AFG123,AFG1,Afghanistan,AFG9,Ghazni,Waghaz,34622.3,34622.3,100.0,2.0,Member State,AFG,ND,2021
AFG124,AFG1,Afghanistan,AFG9,Ghazni,Wali Muhammad-e- Shahid,16245.245,16245.245,100.0,2.0,Member State,AFG,ND,2021
AFG125,AFG1,Afghanistan,AFG9,Ghazni,Zana Khan,12165.547,12165.547,100.00001,2.0,Member State,AFG,ND,2021
AFG126,AFG1,Afghanistan,AFG10,Ghor,Chaghcharan,218696.95,218696.95,100.0,2.0,Member State,AFG,ND,2021
AFG127,AFG1,Afghanistan,AFG10,Ghor,Chahar Sadra,43240.85,43240.85,100.0,2.0,Member State,AFG,ND,2021
AFG128,AFG1,Afghanistan,AFG10,Ghor,Dawlat Yar,53779.734,53779.734,100.0,2.0,Member State,AFG,ND,2021
AFG129,AFG1,Afghanistan,AFG10,Ghor,Du Lina,61680.67,61680.67,100.0,2.0,Member State,AFG,ND,2021
