L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_pop,exposed_pop,percent_exposed,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,23690.701,23690.701,99.99999,2.0,Member State,AFG,ND,2013
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,103696.13,103696.13,100.0,2.0,Member State,AFG,ND,2013
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,68813.25,68813.25,100.0,2.0,Member State,AFG,ND,2013
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,101132.71,101132.71,100.0,2.0,Member State,AFG,ND,2013
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,232871.75,232871.75,100.00001,2.0,Member State,AFG,ND,2013
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,24351.621,24351.621,99.99999,2.0,Member State,AFG,ND,2013
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,179851.19,179851.19,99.99999,2.0,Member State,AFG,ND,2013
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,62637.668,62637.668,100.0,2.0,Member State,AFG,ND,2013
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,101041.016,101041.016,100.00001,2.0,Member State,AFG,ND,2013
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,30825.328,30825.328,100.0,2.0,Member State,AFG,ND,2013
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,32022.418,32022.418,100.0,2.0,Member State,AFG,ND,2013
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,135695.34,135695.34,100.0,2.0,Member State,AFG,ND,2013
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,46552.977,46552.977,100.0,2.0,Member State,AFG,ND,2013
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,58782.36,58782.36,100.0,2.0,Member State,AFG,ND,2013
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,63844.082,63844.082,100.0,2.0,Member State,AFG,ND,2013
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,176822.0,176822.0,100.0,2.0,Member State,AFG,ND,2013
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,41441.953,41441.953,100.0,2.0,Member State,AFG,ND,2013
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,39243.17,39243.17,100.0,2.0,Member State,AFG,ND,2013
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,190894.52,190894.52,100.0,2.0,Member State,AFG,ND,2013
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,21201.057,21201.057,100.00001,2.0,Member State,AFG,ND,2013
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,89851.13,89851.13,100.0,2.0,Member State,AFG,ND,2013
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,54052.207,54052.207,100.0,2.0,Member State,AFG,ND,2013
AFG119,AFG1,Afghanistan,AFG9,Ghazni,Nawa,33124.266,33124.266,100.0,2.0,Member State,AFG,ND,2013
AFG12,AFG1,Afghanistan,AFG1,Badakhshan,Khwahan,20732.19,20732.19,100.0,2.0,Member State,AFG,ND,2013
AFG120,AFG1,Afghanistan,AFG9,Ghazni,Nawur,105318.93,105318.93,100.0,2.0,Member State,AFG,ND,2013
AFG121,AFG1,Afghanistan,AFG9,Ghazni,Qarabagh,164201.56,164201.56,100.0,2.0,Member State,AFG,ND,2013
AFG122,AFG1,Afghanistan,AFG9,Ghazni,Rashidan,19438.803,19438.803,100.0,2.0,Member State,AFG,ND,2013
AFG123,AFG1,Afghanistan,AFG9,Ghazni,Waghaz,40950.19,40950.19,100.0,2.0,Member State,AFG,ND,2013
