globalid,wb_status,sovereign,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_CODE,L2_NAME,Disputed,total_pop,exposed_pop,percent_exposed,year,geo_level
{AAAA9BC6-27F6-4243-8EAC-A1CCE476639F},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG1,Arghanj Khwa,ND,29553.604,29553.604,100.0,2018,2.0
{1AE3DE04-C5FA-4395-B4B5-68C942493202},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG2,Argo,ND,141507.7,141507.7,100.0,2018,2.0
{24A79D11-F425-47BD-B57E-0AC3789933DC},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG3,Baharak,ND,46075.023,46075.023,100.0,2018,2.0
{53333010-0E8C-4E1C-9AFD-8D6AC95B6F32},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG4,Darayem,ND,93275.36,93275.36,100.0,2018,2.0
{7CE6FF3D-A1D9-49E8-9A93-6E0797BDE0AC},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG5,Darwaz,ND,40664.8,40664.8,100.0,2018,2.0
{90C42748-373A-4DF7-8142-C3B844125A10},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG6,Darwaz-e-Balla,ND,34888.266,34888.266,100.0,2018,2.0
{F657154D-E771-487A-91C3-A785D9622041},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG7,Faiz Abad,ND,90994.43,90994.43,100.0,2018,2.0
{BE7C3351-F56C-46E9-93DC-654E1F938D3C},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG8,Ishkashem,ND,21404.062,21404.062,100.0,2018,2.0
{3DA3013F-D89C-4366-8FB7-C3A03C00608B},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG9,Jorm,ND,60230.895,60230.895,100.0,2018,2.0
{F396D2CC-1158-4A1B-A25D-CF9CAFA7C8A3},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG10,Keshem,ND,128660.27,128660.27,100.0,2018,2.0
{80EA2376-C6FA-47FD-9659-0B875C9D475B},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG11,Khash,ND,57828.39,57828.39,100.0,2018,2.0
{C3AFDC6D-CAD6-4AEB-8188-B4B8E0CA5593},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG12,Khwahan,ND,25772.24,25772.24,100.0,2018,2.0
{5A3ABD21-1122-4FBE-A091-1E2BB8414B27},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG13,Kof Ab,ND,35659.44,35659.44,100.0,2018,2.0
{FC5D63A3-36A4-42C9-9CBF-1402B4AC3A35},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG14,Kohistan,ND,23315.639,23315.639,99.99999,2018,2.0
{A4AC4FF5-E1E2-4F9E-A879-114B11B6F99E},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG15,Koran wa Monjan,ND,16200.016,16200.016,99.99999,2018,2.0
{EA71ECC3-0609-4FD4-A594-2AFD14E68E77},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG16,Raghistan,ND,62893.668,62893.668,100.0,2018,2.0
{226CD659-B82D-4D6E-A455-FAD34564CFC4},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG17,Shahr-e-Buzorg,ND,84193.61,84193.61,100.0,2018,2.0
{532EA783-4B3D-479E-A98A-ECEBF190D138},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG18,Shaki,ND,40376.266,40376.266,100.0,2018,2.0
{92DF1052-5755-46DF-8B3F-4B6F8805E1BE},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG19,Shighnan,ND,43180.336,43180.336,100.0,2018,2.0
{6AA801B6-9AB6-4BC3-9318-0D6C7CC98C7D},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG20,Shuhada,ND,55658.246,55658.246,100.0,2018,2.0
{8C41D2FB-1846-453F-939E-5E9BB54531FB},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG21,Tagab,ND,43801.07,43801.07,100.0,2018,2.0
{4E6B4411-2374-4AC9-A37E-7F72FD4B388F},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG22,Teshkan,ND,47966.82,47966.82,100.0,2018,2.0
{9B8CEBA7-6A4C-4249-A24B-D408EDB8403B},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG23,Wakhan,ND,23285.033,23285.033,100.0,2018,2.0
{EF775A7A-8215-467E-A74F-10004CB38CE8},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG24,Warduj,ND,33462.72,33462.72,100.0,2018,2.0
{F846F82D-32AD-4A9D-8175-1EF889706778},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG25,Yaftal-e-Sufla,ND,82269.95,82269.95,100.0,2018,2.0
{53C743DE-1DDA-45C9-A310-8E7E25B93579},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG26,Yamgan,ND,39670.812,39670.812,100.0,2018,2.0
{C84C32BC-C735-4303-83A9-3353676589B2},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG27,Yawan,ND,50862.04,50862.04,100.0,2018,2.0
{DE512BF5-E5F7-470F-ACB2-3B74DF1FA714},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG28,Zebak,ND,12871.423,12871.423,100.0,2018,2.0
{AD48C7E3-8F64-4311-A6FD-B0D87683B5C5},Member State,AFG,AFG1,Afghanistan,AFG2,Badghis,AFG29,Ab Kamari,ND,113248.98,113248.98,100.0,2018,2.0
{4AFD0B94-0F68-485E-8834-071BD2F5214A},Member State,AFG,AFG1,Afghanistan,AFG2,Badghis,AFG30,Bala Murghab,ND,152734.6,152734.6,100.0,2018,2.0
{D30E6E23-37AC-445C-8575-3B8C796700CA},Member State,AFG,AFG1,Afghanistan,AFG2,Badghis,AFG31,Ghormach,ND,86878.07,86878.07,100.0,2018,2.0
