L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_pop,exposed_pop,percent_exposed,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,29553.604,29553.604,100.0,2.0,Member State,AFG,ND,2018
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,128660.27,128660.27,100.0,2.0,Member State,AFG,ND,2018
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,81725.836,81725.836,100.0,2.0,Member State,AFG,ND,2018
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,121115.23,121115.23,100.0,2.0,Member State,AFG,ND,2018
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,275715.88,275715.88,100.0,2.0,Member State,AFG,ND,2018
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,29030.844,29030.844,100.00001,2.0,Member State,AFG,ND,2018
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,214073.66,214073.66,100.0,2.0,Member State,AFG,ND,2018
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,74134.15,74134.15,100.0,2.0,Member State,AFG,ND,2018
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,119871.625,119871.625,99.99999,2.0,Member State,AFG,ND,2018
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,27083.268,27083.268,100.0,2.0,Member State,AFG,ND,2018
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,28045.336,28045.336,100.0,2.0,Member State,AFG,ND,2018
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,119021.16,119021.16,100.0,2.0,Member State,AFG,ND,2018
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,57828.39,57828.39,100.0,2.0,Member State,AFG,ND,2018
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,51368.66,51368.66,100.0,2.0,Member State,AFG,ND,2018
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,56045.95,56045.95,100.0,2.0,Member State,AFG,ND,2018
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,155742.06,155742.06,100.0,2.0,Member State,AFG,ND,2018
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,36510.383,36510.383,100.0,2.0,Member State,AFG,ND,2018
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,34408.062,34408.062,100.0,2.0,Member State,AFG,ND,2018
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,167241.56,167241.56,100.0,2.0,Member State,AFG,ND,2018
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,18719.414,18719.414,100.0,2.0,Member State,AFG,ND,2018
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,79087.17,79087.17,100.0,2.0,Member State,AFG,ND,2018
