L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_pop,exposed_pop,percent_exposed,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,31878.725,31878.725,100.0,2.0,Member State,AFG,ND,2020
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,138771.53,138771.53,100.0,2.0,Member State,AFG,ND,2020
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,86545.89,86545.89,100.0,2.0,Member State,AFG,ND,2020
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,128163.945,128163.945,100.0,2.0,Member State,AFG,ND,2020
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,291979.78,291979.78,100.0,2.0,Member State,AFG,ND,2020
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,30627.676,30627.676,100.0,2.0,Member State,AFG,ND,2020
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,226629.94,226629.94,100.0,2.0,Member State,AFG,ND,2020
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,78498.43,78498.43,100.0,2.0,Member State,AFG,ND,2020
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,126777.31,126777.31,100.0,2.0,Member State,AFG,ND,2020
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,25413.666,25413.666,99.99999,2.0,Member State,AFG,ND,2020
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,26362.973,26362.973,100.0,2.0,Member State,AFG,ND,2020
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,111611.04,111611.04,100.0,2.0,Member State,AFG,ND,2020
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,62372.73,62372.73,100.0,2.0,Member State,AFG,ND,2020
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,48143.98,48143.98,100.0,2.0,Member State,AFG,ND,2020
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,52589.625,52589.625,100.0,2.0,Member State,AFG,ND,2020
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,146251.95,146251.95,100.0,2.0,Member State,AFG,ND,2020
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,34313.156,34313.156,100.0,2.0,Member State,AFG,ND,2020
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,32262.363,32262.363,100.0,2.0,Member State,AFG,ND,2020
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,156794.75,156794.75,100.0,2.0,Member State,AFG,ND,2020
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,17775.152,17775.152,100.0,2.0,Member State,AFG,ND,2020
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,74206.57,74206.57,100.0,2.0,Member State,AFG,ND,2020
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,44389.973,44389.973,100.00001,2.0,Member State,AFG,ND,2020
AFG119,AFG1,Afghanistan,AFG9,Ghazni,Nawa,27379.479,27379.479,100.0,2.0,Member State,AFG,ND,2020
AFG12,AFG1,Afghanistan,AFG1,Badakhshan,Khwahan,27738.924,27738.924,100.00001,2.0,Member State,AFG,ND,2020
AFG120,AFG1,Afghanistan,AFG9,Ghazni,Nawur,87022.79,87022.79,100.0,2.0,Member State,AFG,ND,2020
AFG121,AFG1,Afghanistan,AFG9,Ghazni,Qarabagh,135392.42,135392.42,100.0,2.0,Member State,AFG,ND,2020
AFG122,AFG1,Afghanistan,AFG9,Ghazni,Rashidan,16045.562,16045.562,100.0,2.0,Member State,AFG,ND,2020
AFG123,AFG1,Afghanistan,AFG9,Ghazni,Waghaz,33611.137,33611.137,100.0,2.0,Member State,AFG,ND,2020
AFG124,AFG1,Afghanistan,AFG9,Ghazni,Wali Muhammad-e- Shahid,15770.793,15770.793,100.0,2.0,Member State,AFG,ND,2020
AFG125,AFG1,Afghanistan,AFG9,Ghazni,Zana Khan,11810.244,11810.244,100.0,2.0,Member State,AFG,ND,2020
AFG126,AFG1,Afghanistan,AFG10,Ghor,Chaghcharan,212309.78,212309.78,100.0,2.0,Member State,AFG,ND,2020
AFG127,AFG1,Afghanistan,AFG10,Ghor,Chahar Sadra,41977.977,41977.977,100.0,2.0,Member State,AFG,ND,2020
AFG128,AFG1,Afghanistan,AFG10,Ghor,Dawlat Yar,52209.066,52209.066,100.0,2.0,Member State,AFG,ND,2020
AFG129,AFG1,Afghanistan,AFG10,Ghor,Du Lina,59879.254,59879.254,100.0,2.0,Member State,AFG,ND,2020
AFG13,AFG1,Afghanistan,AFG1,Badakhshan,Kof Ab,38437.625,38437.625,100.0,2.0,Member State,AFG,ND,2020
AFG130,AFG1,Afghanistan,AFG10,Ghor,Lal Wa Sarjangal,174267.1,174267.1,100.0,2.0,Member State,AFG,ND,2020
AFG131,AFG1,Afghanistan,AFG10,Ghor,Pasaband,148911.69,148911.69,100.0,2.0,Member State,AFG,ND,2020
AFG132,AFG1,Afghanistan,AFG10,Ghor,Saghar,54790.4,54790.4,100.0,2.0,Member State,AFG,ND,2020
AFG133,AFG1,Afghanistan,AFG10,Ghor,Shahrak,92226.164,92226.164,99.99999,2.0,Member State,AFG,ND,2020
AFG134,AFG1,Afghanistan,AFG10,Ghor,Taywarah,144322.28,144322.28,100.0,2.0,Member State,AFG,ND,2020
AFG135,AFG1,Afghanistan,AFG10,Ghor,Tolak,79891.97,79891.97,100.0,2.0,Member State,AFG,ND,2020
AFG136,AFG1,Afghanistan,AFG11,Hilmand,Baghran,116751.85,116751.85,100.0,2.0,Member State,AFG,ND,2020
AFG137,AFG1,Afghanistan,AFG11,Hilmand,Deh shu,28974.875,28974.875,100.0,2.0,Member State,AFG,ND,2020
AFG138,AFG1,Afghanistan,AFG11,Hilmand,Garm Ser,131208.55,131208.55,100.0,2.0,Member State,AFG,ND,2020
AFG139,AFG1,Afghanistan,AFG11,Hilmand,Kajaki,99879.58,99879.58,100.0,2.0,Member State,AFG,ND,2020
AFG14,AFG1,Afghanistan,AFG1,Badakhshan,Kohistan,25028.035,25028.035,100.0,2.0,Member State,AFG,ND,2020
AFG140,AFG1,Afghanistan,AFG11,Hilmand,Lashkar Gah,189848.19,189848.19,99.99999,2.0,Member State,AFG,ND,2020
AFG141,AFG1,Afghanistan,AFG11,Hilmand,Musa Qaleh,84215.58,84215.58,100.0,2.0,Member State,AFG,ND,2020
AFG142,AFG1,Afghanistan,AFG11,Hilmand,Nad-e-Ali,192210.72,192210.72,100.0,2.0,Member State,AFG,ND,2020
AFG143,AFG1,Afghanistan,AFG11,Hilmand,Nahr-e-Saraj,160956.16,160956.16,100.0,2.0,Member State,AFG,ND,2020
AFG144,AFG1,Afghanistan,AFG11,Hilmand,Naw Zad,71032.21,71032.21,100.0,2.0,Member State,AFG,ND,2020
AFG145,AFG1,Afghanistan,AFG11,Hilmand,Nawa-e-Barak Zaiy,75986.484,75986.484,100.0,2.0,Member State,AFG,ND,2020
AFG146,AFG1,Afghanistan,AFG11,Hilmand,Reg(khan Neshin),29545.178,29545.178,100.0,2.0,Member State,AFG,ND,2020
AFG147,AFG1,Afghanistan,AFG11,Hilmand,Sangin,86854.43,86854.43,100.0,2.0,Member State,AFG,ND,2020
AFG148,AFG1,Afghanistan,AFG11,Hilmand,Wa Sher,23316.018,23316.018,100.0,2.0,Member State,AFG,ND,2020
AFG149,AFG1,Afghanistan,AFG12,Hirat,Adraskan,88218.805,88218.805,99.99999,2.0,Member State,AFG,ND,2020
AFG15,AFG1,Afghanistan,AFG1,Badakhshan,Koran wa Monjan,17439.223,17439.223,100.0,2.0,Member State,AFG,ND,2020
AFG150,AFG1,Afghanistan,AFG12,Hirat,Chisht-e-Sharif,40954.277,40954.277,100.0,2.0,Member State,AFG,ND,2020
AFG151,AFG1,Afghanistan,AFG12,Hirat,Farsi,52377.984,52377.984,100.0,2.0,Member State,AFG,ND,2020
AFG152,AFG1,Afghanistan,AFG12,Hirat,Ghoryan,147219.92,147219.92,100.0,2.0,Member State,AFG,ND,2020
AFG153,AFG1,Afghanistan,AFG12,Hirat,Gulran,154967.67,154967.67,100.0,2.0,Member State,AFG,ND,2020
AFG154,AFG1,Afghanistan,AFG12,Hirat,Guzara,245560.64,245560.64,100.0,2.0,Member State,AFG,ND,2020
AFG155,AFG1,Afghanistan,AFG12,Hirat,Hirat,262423.0,262423.0,100.0,2.0,Member State,AFG,ND,2020
AFG156,AFG1,Afghanistan,AFG12,Hirat,Injil,898961.9,898961.9,99.99999,2.0,Member State,AFG,ND,2020
AFG157,AFG1,Afghanistan,AFG12,Hirat,Karukh,112400.69,112400.69,100.0,2.0,Member State,AFG,ND,2020
AFG158,AFG1,Afghanistan,AFG12,Hirat,Kohsan,89219.12,89219.12,100.0,2.0,Member State,AFG,ND,2020
AFG159,AFG1,Afghanistan,AFG12,Hirat,Kushk,206977.28,206977.28,100.0,2.0,Member State,AFG,ND,2020
AFG16,AFG1,Afghanistan,AFG1,Badakhshan,Raghistan,67832.91,67832.91,100.0,2.0,Member State,AFG,ND,2020
AFG160,AFG1,Afghanistan,AFG12,Hirat,Kushk-e-Kohna,75574.75,75574.75,100.0,2.0,Member State,AFG,ND,2020
AFG161,AFG1,Afghanistan,AFG12,Hirat,Obe,127936.164,127936.164,100.0,2.0,Member State,AFG,ND,2020
AFG162,AFG1,Afghanistan,AFG12,Hirat,Pashtun  Zarghun,168231.3,168231.3,100.0,2.0,Member State,AFG,ND,2020
AFG163,AFG1,Afghanistan,AFG12,Hirat,Shindand,307322.1,307322.1,100.0,2.0,Member State,AFG,ND,2020
AFG164,AFG1,Afghanistan,AFG12,Hirat,Zinda Jan,100996.234,100996.234,99.99999,2.0,Member State,AFG,ND,2020
AFG165,AFG1,Afghanistan,AFG13,Jawzjan,Aqcha,79000.41,79000.41,100.0,2.0,Member State,AFG,ND,2020
AFG166,AFG1,Afghanistan,AFG13,Jawzjan,Darz Ab,63296.5,63296.5,100.0,2.0,Member State,AFG,ND,2020
AFG167,AFG1,Afghanistan,AFG13,Jawzjan,Fayz Abad,54481.22,54481.22,100.0,2.0,Member State,AFG,ND,2020
AFG168,AFG1,Afghanistan,AFG13,Jawzjan,Khamyab,17607.674,17607.674,100.0,2.0,Member State,AFG,ND,2020
AFG169,AFG1,Afghanistan,AFG13,Jawzjan,Khanaqa,49169.613,49169.613,100.0,2.0,Member State,AFG,ND,2020
AFG17,AFG1,Afghanistan,AFG1,Badakhshan,Shahr-e-Buzorg,90928.04,90928.04,100.0,2.0,Member State,AFG,ND,2020
AFG170,AFG1,Afghanistan,AFG13,Jawzjan,Khwaja Du Koh,34456.316,34456.316,100.0,2.0,Member State,AFG,ND,2020
AFG171,AFG1,Afghanistan,AFG13,Jawzjan,Mardyan,48453.113,48453.113,100.0,2.0,Member State,AFG,ND,2020
