L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_pop,exposed_pop,percent_exposed,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,33680.67,33680.67,100.0,2.0,Member State,AFG,ND,2022
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,146615.61,146615.61,100.0,2.0,Member State,AFG,ND,2022
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,91437.91,91437.91,100.00001,2.0,Member State,AFG,ND,2022
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,135408.42,135408.42,100.0,2.0,Member State,AFG,ND,2022
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,308483.97,308483.97,100.0,2.0,Member State,AFG,ND,2022
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,32358.91,32358.91,100.0,2.0,Member State,AFG,ND,2022
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,239440.22,239440.22,100.0,2.0,Member State,AFG,ND,2022
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,82935.56,82935.56,100.0,2.0,Member State,AFG,ND,2022
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,133943.42,133943.42,100.0,2.0,Member State,AFG,ND,2022
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,26850.176,26850.176,100.0,2.0,Member State,AFG,ND,2022
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,27853.145,27853.145,100.0,2.0,Member State,AFG,ND,2022
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,117919.86,117919.86,100.0,2.0,Member State,AFG,ND,2022
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,65898.36,65898.36,100.0,2.0,Member State,AFG,ND,2022
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,50865.324,50865.324,100.0,2.0,Member State,AFG,ND,2022
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,55562.258,55562.258,100.00001,2.0,Member State,AFG,ND,2022
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,154518.86,154518.86,100.0,2.0,Member State,AFG,ND,2022
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,36252.715,36252.715,100.0,2.0,Member State,AFG,ND,2022
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,34085.996,34085.996,100.0,2.0,Member State,AFG,ND,2022
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,165657.6,165657.6,100.0,2.0,Member State,AFG,ND,2022
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,18779.895,18779.895,100.0,2.0,Member State,AFG,ND,2022
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,78401.1,78401.1,100.0,2.0,Member State,AFG,ND,2022
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,46899.12,46899.12,100.0,2.0,Member State,AFG,ND,2022
AFG119,AFG1,Afghanistan,AFG9,Ghazni,Nawa,28927.105,28927.105,100.0,2.0,Member State,AFG,ND,2022
AFG12,AFG1,Afghanistan,AFG1,Badakhshan,Khwahan,29306.87,29306.87,100.0,2.0,Member State,AFG,ND,2022
