globalid,wb_status,sovereign,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_CODE,L2_NAME,Disputed,total_pop,exposed_pop,percent_exposed,year,geo_level
{AAAA9BC6-27F6-4243-8EAC-A1CCE476639F},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG1,Arghanj Khwa,ND,20587.941,20587.941,100.0,2010,2.0
{1AE3DE04-C5FA-4395-B4B5-68C942493202},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG2,Argo,ND,98307.71,98307.71,100.0,2010,2.0
{24A79D11-F425-47BD-B57E-0AC3789933DC},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG3,Baharak,ND,31765.004,31765.004,100.0,2010,2.0
{53333010-0E8C-4E1C-9AFD-8D6AC95B6F32},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG4,Darayem,ND,64916.465,64916.465,100.0,2010,2.0
{7CE6FF3D-A1D9-49E8-9A93-6E0797BDE0AC},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG5,Darwaz,ND,28293.135,28293.135,100.0,2010,2.0
{90C42748-373A-4DF7-8142-C3B844125A10},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG6,Darwaz-e-Balla,ND,24161.594,24161.594,100.00001,2010,2.0
{F657154D-E771-487A-91C3-A785D9622041},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG7,Faiz Abad,ND,62641.496,62641.496,100.0,2010,2.0
{BE7C3351-F56C-46E9-93DC-654E1F938D3C},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG8,Ishkashem,ND,14797.59,14797.59,100.0,2010,2.0
{3DA3013F-D89C-4366-8FB7-C3A03C00608B},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG9,Jorm,ND,41750.297,41750.297,100.0,2010,2.0
{F396D2CC-1158-4A1B-A25D-CF9CAFA7C8A3},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG10,Keshem,ND,89138.4,89138.4,100.0,2010,2.0
{80EA2376-C6FA-47FD-9659-0B875C9D475B},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG11,Khash,ND,39930.4,39930.4,100.0,2010,2.0
{C3AFDC6D-CAD6-4AEB-8188-B4B8E0CA5593},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG12,Khwahan,ND,17884.658,17884.658,100.0,2010,2.0
{5A3ABD21-1122-4FBE-A091-1E2BB8414B27},Member State,AFG,AFG1,Afghanistan,AFG1,Badakhshan,AFG13,Kof Ab,ND,24712.58,24712.58,100.0,2010,2.0
