L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_pop,exposed_pop,percent_exposed,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,21574.686,21574.686,100.0,2.0,Member State,AFG,ND,2011
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,93475.1,93475.1,100.0,2.0,Member State,AFG,ND,2011
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,63344.266,63344.266,100.0,2.0,Member State,AFG,ND,2011
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,92653.21,92653.21,100.0,2.0,Member State,AFG,ND,2011
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,214561.4,214561.4,100.0,2.0,Member State,AFG,ND,2011
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,22535.646,22535.646,100.00001,2.0,Member State,AFG,ND,2011
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,165702.84,165702.84,100.0,2.0,Member State,AFG,ND,2011
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,58098.88,58098.88,100.0,2.0,Member State,AFG,ND,2011
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,92808.22,92808.22,100.0,2.0,Member State,AFG,ND,2011
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,32072.305,32072.305,100.0,2.0,Member State,AFG,ND,2011
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,33165.77,33165.77,100.0,2.0,Member State,AFG,ND,2011
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,141192.33,141192.33,100.0,2.0,Member State,AFG,ND,2011
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,41968.305,41968.305,100.0,2.0,Member State,AFG,ND,2011
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,60245.37,60245.37,100.0,2.0,Member State,AFG,ND,2011
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,66322.21,66322.21,100.0,2.0,Member State,AFG,ND,2011
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,184169.2,184169.2,100.0,2.0,Member State,AFG,ND,2011
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,43049.305,43049.305,100.0,2.0,Member State,AFG,ND,2011
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,41064.465,41064.465,100.0,2.0,Member State,AFG,ND,2011
