L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_pop,exposed_pop,percent_exposed,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,27197.697,27197.697,100.0,2.0,Member State,AFG,ND,2016
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,118942.14,118942.14,100.0,2.0,Member State,AFG,ND,2016
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,76837.5,76837.5,100.0,2.0,Member State,AFG,ND,2016
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,113433.86,113433.86,100.0,2.0,Member State,AFG,ND,2016
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,259637.67,259637.67,100.0,2.0,Member State,AFG,ND,2016
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,27347.861,27347.861,100.00001,2.0,Member State,AFG,ND,2016
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,201433.53,201433.53,100.00001,2.0,Member State,AFG,ND,2016
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,70041.09,70041.09,100.0,2.0,Member State,AFG,ND,2016
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,112925.31,112925.31,100.0,2.0,Member State,AFG,ND,2016
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,28765.346,28765.346,100.0,2.0,Member State,AFG,ND,2016
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,29623.965,29623.965,100.0,2.0,Member State,AFG,ND,2016
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,126538.75,126538.75,100.0,2.0,Member State,AFG,ND,2016
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,53356.496,53356.496,100.0,2.0,Member State,AFG,ND,2016
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,54506.54,54506.54,100.0,2.0,Member State,AFG,ND,2016
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,59445.324,59445.324,100.0,2.0,Member State,AFG,ND,2016
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,165079.97,165079.97,100.0,2.0,Member State,AFG,ND,2016
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,38700.406,38700.406,100.0,2.0,Member State,AFG,ND,2016
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,36642.867,36642.867,100.0,2.0,Member State,AFG,ND,2016
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,177417.67,177417.67,100.00001,2.0,Member State,AFG,ND,2016
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,19878.887,19878.887,100.0,2.0,Member State,AFG,ND,2016
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,84046.09,84046.09,99.99999,2.0,Member State,AFG,ND,2016
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,50336.89,50336.89,100.0,2.0,Member State,AFG,ND,2016
AFG119,AFG1,Afghanistan,AFG9,Ghazni,Nawa,30895.225,30895.225,100.0,2.0,Member State,AFG,ND,2016
AFG12,AFG1,Afghanistan,AFG1,Badakhshan,Khwahan,23756.096,23756.096,100.0,2.0,Member State,AFG,ND,2016
AFG120,AFG1,Afghanistan,AFG9,Ghazni,Nawur,98314.74,98314.74,100.0,2.0,Member State,AFG,ND,2016
AFG121,AFG1,Afghanistan,AFG9,Ghazni,Qarabagh,153356.4,153356.4,100.0,2.0,Member State,AFG,ND,2016
AFG122,AFG1,Afghanistan,AFG9,Ghazni,Rashidan,18129.062,18129.062,100.0,2.0,Member State,AFG,ND,2016
AFG123,AFG1,Afghanistan,AFG9,Ghazni,Waghaz,38100.4,38100.4,100.0,2.0,Member State,AFG,ND,2016
AFG124,AFG1,Afghanistan,AFG9,Ghazni,Wali Muhammad-e- Shahid,17821.29,17821.29,100.0,2.0,Member State,AFG,ND,2016
AFG125,AFG1,Afghanistan,AFG9,Ghazni,Zana Khan,13257.1455,13257.1455,99.99999,2.0,Member State,AFG,ND,2016
AFG126,AFG1,Afghanistan,AFG10,Ghor,Chaghcharan,188774.98,188774.98,100.0,2.0,Member State,AFG,ND,2016
AFG127,AFG1,Afghanistan,AFG10,Ghor,Chahar Sadra,37377.363,37377.363,100.0,2.0,Member State,AFG,ND,2016
AFG128,AFG1,Afghanistan,AFG10,Ghor,Dawlat Yar,46359.1,46359.1,100.0,2.0,Member State,AFG,ND,2016
AFG129,AFG1,Afghanistan,AFG10,Ghor,Du Lina,53202.17,53202.17,100.0,2.0,Member State,AFG,ND,2016
AFG13,AFG1,Afghanistan,AFG1,Badakhshan,Kof Ab,32986.902,32986.902,100.0,2.0,Member State,AFG,ND,2016
AFG130,AFG1,Afghanistan,AFG10,Ghor,Lal Wa Sarjangal,155096.42,155096.42,100.0,2.0,Member State,AFG,ND,2016
AFG131,AFG1,Afghanistan,AFG10,Ghor,Pasaband,132327.73,132327.73,100.0,2.0,Member State,AFG,ND,2016
AFG132,AFG1,Afghanistan,AFG10,Ghor,Saghar,48710.336,48710.336,100.0,2.0,Member State,AFG,ND,2016
AFG133,AFG1,Afghanistan,AFG10,Ghor,Shahrak,81864.4,81864.4,100.0,2.0,Member State,AFG,ND,2016
AFG134,AFG1,Afghanistan,AFG10,Ghor,Taywarah,128566.54,128566.54,100.0,2.0,Member State,AFG,ND,2016
AFG135,AFG1,Afghanistan,AFG10,Ghor,Tolak,71097.87,71097.87,100.0,2.0,Member State,AFG,ND,2016
AFG136,AFG1,Afghanistan,AFG11,Hilmand,Baghran,108280.164,108280.164,100.0,2.0,Member State,AFG,ND,2016
AFG137,AFG1,Afghanistan,AFG11,Hilmand,Deh shu,26506.848,26506.848,100.0,2.0,Member State,AFG,ND,2016
AFG138,AFG1,Afghanistan,AFG11,Hilmand,Garm Ser,119690.305,119690.305,99.99999,2.0,Member State,AFG,ND,2016
AFG139,AFG1,Afghanistan,AFG11,Hilmand,Kajaki,92604.6,92604.6,100.0,2.0,Member State,AFG,ND,2016
AFG14,AFG1,Afghanistan,AFG1,Badakhshan,Kohistan,21616.406,21616.406,99.99999,2.0,Member State,AFG,ND,2016
AFG140,AFG1,Afghanistan,AFG11,Hilmand,Lashkar Gah,176117.0,176117.0,100.0,2.0,Member State,AFG,ND,2016
AFG141,AFG1,Afghanistan,AFG11,Hilmand,Musa Qaleh,78169.75,78169.75,100.0,2.0,Member State,AFG,ND,2016
AFG142,AFG1,Afghanistan,AFG11,Hilmand,Nad-e-Ali,177966.4,177966.4,100.0,2.0,Member State,AFG,ND,2016
AFG143,AFG1,Afghanistan,AFG11,Hilmand,Nahr-e-Saraj,150188.92,150188.92,100.0,2.0,Member State,AFG,ND,2016
AFG144,AFG1,Afghanistan,AFG11,Hilmand,Naw Zad,65859.33,65859.33,100.0,2.0,Member State,AFG,ND,2016
AFG145,AFG1,Afghanistan,AFG11,Hilmand,Nawa-e-Barak Zaiy,70206.67,70206.67,100.0,2.0,Member State,AFG,ND,2016
AFG146,AFG1,Afghanistan,AFG11,Hilmand,Reg(khan Neshin),29425.826,29425.826,99.99999,2.0,Member State,AFG,ND,2016
AFG147,AFG1,Afghanistan,AFG11,Hilmand,Sangin,80366.586,80366.586,100.0,2.0,Member State,AFG,ND,2016
AFG148,AFG1,Afghanistan,AFG11,Hilmand,Wa Sher,21629.568,21629.568,99.99999,2.0,Member State,AFG,ND,2016
AFG149,AFG1,Afghanistan,AFG12,Hirat,Adraskan,76116.73,76116.73,100.0,2.0,Member State,AFG,ND,2016
AFG15,AFG1,Afghanistan,AFG1,Badakhshan,Koran wa Monjan,15009.509,15009.509,100.0,2.0,Member State,AFG,ND,2016
AFG150,AFG1,Afghanistan,AFG12,Hirat,Chisht-e-Sharif,35219.02,35219.02,100.0,2.0,Member State,AFG,ND,2016
AFG151,AFG1,Afghanistan,AFG12,Hirat,Farsi,45082.344,45082.344,100.0,2.0,Member State,AFG,ND,2016
AFG152,AFG1,Afghanistan,AFG12,Hirat,Ghoryan,126803.95,126803.95,100.0,2.0,Member State,AFG,ND,2016
AFG153,AFG1,Afghanistan,AFG12,Hirat,Gulran,133328.0,133328.0,100.0,2.0,Member State,AFG,ND,2016
AFG154,AFG1,Afghanistan,AFG12,Hirat,Guzara,211334.58,211334.58,100.0,2.0,Member State,AFG,ND,2016
AFG155,AFG1,Afghanistan,AFG12,Hirat,Hirat,215851.95,215851.95,100.0,2.0,Member State,AFG,ND,2016
AFG156,AFG1,Afghanistan,AFG12,Hirat,Injil,781473.2,781473.2,100.0,2.0,Member State,AFG,ND,2016
AFG157,AFG1,Afghanistan,AFG12,Hirat,Karukh,96748.81,96748.81,100.0,2.0,Member State,AFG,ND,2016
AFG158,AFG1,Afghanistan,AFG12,Hirat,Kohsan,76758.58,76758.58,100.0,2.0,Member State,AFG,ND,2016
AFG159,AFG1,Afghanistan,AFG12,Hirat,Kushk,178214.16,178214.16,100.0,2.0,Member State,AFG,ND,2016
AFG16,AFG1,Afghanistan,AFG1,Badakhshan,Raghistan,58051.016,58051.016,100.0,2.0,Member State,AFG,ND,2016
AFG160,AFG1,Afghanistan,AFG12,Hirat,Kushk-e-Kohna,65078.484,65078.484,100.0,2.0,Member State,AFG,ND,2016
AFG161,AFG1,Afghanistan,AFG12,Hirat,Obe,110046.836,110046.836,100.0,2.0,Member State,AFG,ND,2016
AFG162,AFG1,Afghanistan,AFG12,Hirat,Pashtun  Zarghun,144956.03,144956.03,100.0,2.0,Member State,AFG,ND,2016
AFG163,AFG1,Afghanistan,AFG12,Hirat,Shindand,264075.1,264075.1,100.0,2.0,Member State,AFG,ND,2016
AFG164,AFG1,Afghanistan,AFG12,Hirat,Zinda Jan,87851.59,87851.59,99.99999,2.0,Member State,AFG,ND,2016
AFG165,AFG1,Afghanistan,AFG13,Jawzjan,Aqcha,76544.92,76544.92,100.0,2.0,Member State,AFG,ND,2016
AFG166,AFG1,Afghanistan,AFG13,Jawzjan,Darz Ab,61441.5,61441.5,100.0,2.0,Member State,AFG,ND,2016
AFG167,AFG1,Afghanistan,AFG13,Jawzjan,Fayz Abad,52998.56,52998.56,100.0,2.0,Member State,AFG,ND,2016
AFG168,AFG1,Afghanistan,AFG13,Jawzjan,Khamyab,17100.281,17100.281,100.0,2.0,Member State,AFG,ND,2016
AFG169,AFG1,Afghanistan,AFG13,Jawzjan,Khanaqa,48309.906,48309.906,100.0,2.0,Member State,AFG,ND,2016
AFG17,AFG1,Afghanistan,AFG1,Badakhshan,Shahr-e-Buzorg,77737.1,77737.1,100.0,2.0,Member State,AFG,ND,2016
AFG170,AFG1,Afghanistan,AFG13,Jawzjan,Khwaja Du Koh,33195.973,33195.973,100.0,2.0,Member State,AFG,ND,2016
AFG171,AFG1,Afghanistan,AFG13,Jawzjan,Mardyan,47332.723,47332.723,100.00001,2.0,Member State,AFG,ND,2016
AFG172,AFG1,Afghanistan,AFG13,Jawzjan,Mingajik,48599.61,48599.61,100.0,2.0,Member State,AFG,ND,2016
AFG173,AFG1,Afghanistan,AFG13,Jawzjan,Qarqin,31691.418,31691.418,100.0,2.0,Member State,AFG,ND,2016
AFG174,AFG1,Afghanistan,AFG13,Jawzjan,Qush Tepa,30110.012,30110.012,100.0,2.0,Member State,AFG,ND,2016
AFG175,AFG1,Afghanistan,AFG13,Jawzjan,Shiberghan,203232.27,203232.27,100.0,2.0,Member State,AFG,ND,2016
AFG176,AFG1,Afghanistan,AFG14,Kabul,Bagrami,125086.86,125086.86,100.0,2.0,Member State,AFG,ND,2016
AFG177,AFG1,Afghanistan,AFG14,Kabul,Chahar Asyab,63540.77,63540.77,100.0,2.0,Member State,AFG,ND,2016
AFG178,AFG1,Afghanistan,AFG14,Kabul,Deh Sabz,89397.12,89397.12,100.0,2.0,Member State,AFG,ND,2016
AFG179,AFG1,Afghanistan,AFG14,Kabul,Estalef,43122.887,43122.887,99.99999,2.0,Member State,AFG,ND,2016
AFG18,AFG1,Afghanistan,AFG1,Badakhshan,Shaki,37138.195,37138.195,100.0,2.0,Member State,AFG,ND,2016
AFG180,AFG1,Afghanistan,AFG14,Kabul,Farza,36098.22,36098.22,100.0,2.0,Member State,AFG,ND,2016
AFG181,AFG1,Afghanistan,AFG14,Kabul,Guldara,27450.209,27450.209,100.0,2.0,Member State,AFG,ND,2016
AFG182,AFG1,Afghanistan,AFG14,Kabul,Kabul,4467180.5,4467180.5,100.0,2.0,Member State,AFG,ND,2016
AFG183,AFG1,Afghanistan,AFG14,Kabul,Kalakan,44553.957,44553.957,99.99999,2.0,Member State,AFG,ND,2016
AFG184,AFG1,Afghanistan,AFG14,Kabul,Khak-e- Jabbar,19767.215,19767.215,100.0,2.0,Member State,AFG,ND,2016
AFG185,AFG1,Afghanistan,AFG14,Kabul,Mir Bacha Kot,69649.836,69649.836,100.0,2.0,Member State,AFG,ND,2016
AFG186,AFG1,Afghanistan,AFG14,Kabul,Musayi,32692.963,32692.963,100.0,2.0,Member State,AFG,ND,2016
AFG187,AFG1,Afghanistan,AFG14,Kabul,Paghman,203466.17,203466.17,100.00001,2.0,Member State,AFG,ND,2016
AFG188,AFG1,Afghanistan,AFG14,Kabul,Qarabagh,100198.77,100198.77,100.0,2.0,Member State,AFG,ND,2016
AFG189,AFG1,Afghanistan,AFG14,Kabul,Shakardara,124369.195,124369.195,100.0,2.0,Member State,AFG,ND,2016
AFG19,AFG1,Afghanistan,AFG1,Badakhshan,Shighnan,39740.242,39740.242,100.0,2.0,Member State,AFG,ND,2016
AFG190,AFG1,Afghanistan,AFG14,Kabul,Surobi,79719.234,79719.234,100.0,2.0,Member State,AFG,ND,2016
AFG191,AFG1,Afghanistan,AFG15,Kandahar,Arghandab,78991.05,78991.05,100.0,2.0,Member State,AFG,ND,2016
AFG192,AFG1,Afghanistan,AFG15,Kandahar,Arghistan,48723.12,48723.12,100.0,2.0,Member State,AFG,ND,2016
AFG193,AFG1,Afghanistan,AFG15,Kandahar,Daman,56169.594,56169.594,100.0,2.0,Member State,AFG,ND,2016
AFG194,AFG1,Afghanistan,AFG15,Kandahar,Ghorak,13456.965,13456.965,100.0,2.0,Member State,AFG,ND,2016
AFG195,AFG1,Afghanistan,AFG15,Kandahar,Kandahar,756625.1,756625.1,100.0,2.0,Member State,AFG,ND,2016
AFG196,AFG1,Afghanistan,AFG15,Kandahar,Khakrez,31654.885,31654.885,100.0,2.0,Member State,AFG,ND,2016
AFG197,AFG1,Afghanistan,AFG15,Kandahar,Maruf,44248.01,44248.01,99.99999,2.0,Member State,AFG,ND,2016
AFG198,AFG1,Afghanistan,AFG15,Kandahar,Maywand,82593.79,82593.79,100.0,2.0,Member State,AFG,ND,2016
AFG199,AFG1,Afghanistan,AFG15,Kandahar,Miyanshin,20077.297,20077.297,100.0,2.0,Member State,AFG,ND,2016
AFG2,AFG1,Afghanistan,AFG1,Badakhshan,Argo,130377.93,130377.93,100.0,2.0,Member State,AFG,ND,2016
AFG20,AFG1,Afghanistan,AFG1,Badakhshan,Shuhada,51384.22,51384.22,100.0,2.0,Member State,AFG,ND,2016
AFG200,AFG1,Afghanistan,AFG15,Kandahar,Nesh,18988.824,18988.824,100.0,2.0,Member State,AFG,ND,2016
AFG201,AFG1,Afghanistan,AFG15,Kandahar,Panj wayi,118759.25,118759.25,100.0,2.0,Member State,AFG,ND,2016
AFG202,AFG1,Afghanistan,AFG15,Kandahar,Reg,12637.772,12637.772,100.0,2.0,Member State,AFG,ND,2016
AFG203,AFG1,Afghanistan,AFG15,Kandahar,Shah Wali Kot,62642.57,62642.57,100.0,2.0,Member State,AFG,ND,2016
AFG204,AFG1,Afghanistan,AFG15,Kandahar,Shor Abak,15495.299,15495.299,100.0,2.0,Member State,AFG,ND,2016
AFG205,AFG1,Afghanistan,AFG15,Kandahar,Spin Boldak,137856.69,137856.69,100.0,2.0,Member State,AFG,ND,2016
AFG206,AFG1,Afghanistan,AFG15,Kandahar,Zheray,118588.55,118588.55,100.0,2.0,Member State,AFG,ND,2016
AFG207,AFG1,Afghanistan,AFG16,Kapisa,Alasay,48800.17,48800.17,99.99999,2.0,Member State,AFG,ND,2016
AFG208,AFG1,Afghanistan,AFG16,Kapisa,Hesa Awal-e- Kohestan,81171.53,81171.53,100.0,2.0,Member State,AFG,ND,2016
AFG209,AFG1,Afghanistan,AFG16,Kapisa,Hisa Duwum-e- Kohestan,64700.035,64700.035,100.0,2.0,Member State,AFG,ND,2016
AFG21,AFG1,Afghanistan,AFG1,Badakhshan,Tagab,40440.934,40440.934,100.0,2.0,Member State,AFG,ND,2016
AFG210,AFG1,Afghanistan,AFG16,Kapisa,Koh Band,30961.947,30961.947,100.0,2.0,Member State,AFG,ND,2016
AFG211,AFG1,Afghanistan,AFG16,Kapisa,Mahmud-e- Raqi,93140.25,93140.25,100.0,2.0,Member State,AFG,ND,2016
AFG212,AFG1,Afghanistan,AFG16,Kapisa,Nejrab,141203.86,141203.86,100.0,2.0,Member State,AFG,ND,2016
AFG213,AFG1,Afghanistan,AFG16,Kapisa,Tagab,105022.96,105022.96,100.0,2.0,Member State,AFG,ND,2016
AFG214,AFG1,Afghanistan,AFG17,Khost,Bak,33226.223,33226.223,100.0,2.0,Member State,AFG,ND,2016
AFG215,AFG1,Afghanistan,AFG17,Khost,Gurbuz,46121.527,46121.527,99.99999,2.0,Member State,AFG,ND,2016
AFG216,AFG1,Afghanistan,AFG17,Khost,Jaji Maydan,33380.16,33380.16,100.0,2.0,Member State,AFG,ND,2016
AFG217,AFG1,Afghanistan,AFG17,Khost,Khost(Matun),216107.77,216107.77,100.0,2.0,Member State,AFG,ND,2016
AFG218,AFG1,Afghanistan,AFG17,Khost,Mando Zayi,85856.87,85856.87,100.0,2.0,Member State,AFG,ND,2016
AFG219,AFG1,Afghanistan,AFG17,Khost,Musa Khel,64224.75,64224.75,100.0,2.0,Member State,AFG,ND,2016
AFG22,AFG1,Afghanistan,AFG1,Badakhshan,Teshkan,44324.434,44324.434,100.0,2.0,Member State,AFG,ND,2016
AFG220,AFG1,Afghanistan,AFG17,Khost,Nadir Shah Kot,50646.47,50646.47,100.0,2.0,Member State,AFG,ND,2016
AFG221,AFG1,Afghanistan,AFG17,Khost,Qalandar,16147.109,16147.109,100.00001,2.0,Member State,AFG,ND,2016
AFG222,AFG1,Afghanistan,AFG17,Khost,Sabri,111253.48,111253.48,100.0,2.0,Member State,AFG,ND,2016
AFG223,AFG1,Afghanistan,AFG17,Khost,Shamal (Shamul),21312.293,21312.293,100.0,2.0,Member State,AFG,ND,2016
AFG224,AFG1,Afghanistan,AFG17,Khost,Spera,37255.746,37255.746,100.0,2.0,Member State,AFG,ND,2016
AFG225,AFG1,Afghanistan,AFG17,Khost,Tani,86994.15,86994.15,100.0,2.0,Member State,AFG,ND,2016
AFG226,AFG1,Afghanistan,AFG17,Khost,Tere Zayi,68266.28,68266.28,100.0,2.0,Member State,AFG,ND,2016
AFG227,AFG1,Afghanistan,AFG18,Kunar,Asad Abad,44390.473,44390.473,100.00001,2.0,Member State,AFG,ND,2016
AFG228,AFG1,Afghanistan,AFG18,Kunar,Bar Kunar,27602.799,27602.799,100.00001,2.0,Member State,AFG,ND,2016
AFG229,AFG1,Afghanistan,AFG18,Kunar,Chapa Dara,43490.73,43490.73,100.0,2.0,Member State,AFG,ND,2016
AFG23,AFG1,Afghanistan,AFG1,Badakhshan,Wakhan,21506.041,21506.041,99.99999,2.0,Member State,AFG,ND,2016
AFG230,AFG1,Afghanistan,AFG18,Kunar,Chawkay,51365.195,51365.195,100.0,2.0,Member State,AFG,ND,2016
AFG231,AFG1,Afghanistan,AFG18,Kunar,Dangam,20165.752,20165.752,100.0,2.0,Member State,AFG,ND,2016
AFG232,AFG1,Afghanistan,AFG18,Kunar,Dara-e-Pech,74622.08,74622.08,100.0,2.0,Member State,AFG,ND,2016
AFG233,AFG1,Afghanistan,AFG18,Kunar,Ghazi Abad,26362.889,26362.889,99.99999,2.0,Member State,AFG,ND,2016
AFG234,AFG1,Afghanistan,AFG18,Kunar,Khas Kunar,47306.066,47306.066,100.0,2.0,Member State,AFG,ND,2016
AFG235,AFG1,Afghanistan,AFG18,Kunar,Marawara,29960.314,29960.314,100.0,2.0,Member State,AFG,ND,2016
AFG236,AFG1,Afghanistan,AFG18,Kunar,Narang,41379.57,41379.57,100.0,2.0,Member State,AFG,ND,2016
AFG237,AFG1,Afghanistan,AFG18,Kunar,Nari,34389.633,34389.633,100.0,2.0,Member State,AFG,ND,2016
AFG238,AFG1,Afghanistan,AFG18,Kunar,Nurgal,43905.168,43905.168,100.00001,2.0,Member State,AFG,ND,2016
AFG239,AFG1,Afghanistan,AFG18,Kunar,Sarkani,33301.3,33301.3,100.0,2.0,Member State,AFG,ND,2016
AFG24,AFG1,Afghanistan,AFG1,Badakhshan,Warduj,30973.775,30973.775,100.0,2.0,Member State,AFG,ND,2016
AFG240,AFG1,Afghanistan,AFG18,Kunar,Shigal wa shel tan,40388.55,40388.55,100.0,2.0,Member State,AFG,ND,2016
AFG241,AFG1,Afghanistan,AFG18,Kunar,Wata Pur,37878.406,37878.406,100.0,2.0,Member State,AFG,ND,2016
AFG242,AFG1,Afghanistan,AFG19,Kunduz,Ali Abad,55524.754,55524.754,100.0,2.0,Member State,AFG,ND,2016
AFG243,AFG1,Afghanistan,AFG19,Kunduz,Chahar Darah,89500.93,89500.93,100.0,2.0,Member State,AFG,ND,2016
AFG244,AFG1,Afghanistan,AFG19,Kunduz,Dasht-e-Archi,102090.445,102090.445,100.00001,2.0,Member State,AFG,ND,2016
AFG245,AFG1,Afghanistan,AFG19,Kunduz,Imam Saheb,273840.4,273840.4,100.0,2.0,Member State,AFG,ND,2016
AFG246,AFG1,Afghanistan,AFG19,Kunduz,Khan Abad,186379.33,186379.33,99.99999,2.0,Member State,AFG,ND,2016
AFG247,AFG1,Afghanistan,AFG19,Kunduz,Kunduz,367944.0,367944.0,100.0,2.0,Member State,AFG,ND,2016
AFG248,AFG1,Afghanistan,AFG19,Kunduz,Qala-e-Zal,84290.73,84290.73,100.00001,2.0,Member State,AFG,ND,2016
AFG249,AFG1,Afghanistan,AFG20,Laghman,Alingar,131520.5,131520.5,100.0,2.0,Member State,AFG,ND,2016
AFG25,AFG1,Afghanistan,AFG1,Badakhshan,Yaftal-e-Sufla,76121.59,76121.59,100.0,2.0,Member State,AFG,ND,2016
AFG250,AFG1,Afghanistan,AFG20,Laghman,Alishang,100690.99,100690.99,100.0,2.0,Member State,AFG,ND,2016
AFG251,AFG1,Afghanistan,AFG20,Laghman,Daulat Shah,46480.367,46480.367,99.99999,2.0,Member State,AFG,ND,2016
