L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_pop,exposed_pop,percent_exposed,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,30747.264,30747.264,100.0,2.0,Member State,AFG,ND,2019
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,133665.08,133665.08,100.0,2.0,Member State,AFG,ND,2019
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,84223.01,84223.01,100.0,2.0,Member State,AFG,ND,2019
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,124494.57,124494.57,100.0,2.0,Member State,AFG,ND,2019
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,284173.44,284173.44,100.0,2.0,Member State,AFG,ND,2019
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,29669.564,29669.564,100.0,2.0,Member State,AFG,ND,2019
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,220302.53,220302.53,100.00001,2.0,Member State,AFG,ND,2019
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,76647.58,76647.58,100.0,2.0,Member State,AFG,ND,2019
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,123188.7,123188.7,100.0,2.0,Member State,AFG,ND,2019
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,26230.43,26230.43,100.0,2.0,Member State,AFG,ND,2019
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,27162.23,27162.23,100.0,2.0,Member State,AFG,ND,2019
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,115228.664,115228.664,100.0,2.0,Member State,AFG,ND,2019
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,60075.652,60075.652,99.99999,2.0,Member State,AFG,ND,2019
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,49708.867,49708.867,99.99999,2.0,Member State,AFG,ND,2019
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,54283.01,54283.01,100.0,2.0,Member State,AFG,ND,2019
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,151067.7,151067.7,100.0,2.0,Member State,AFG,ND,2019
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,35397.914,35397.914,100.0,2.0,Member State,AFG,ND,2019
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,33309.676,33309.676,100.0,2.0,Member State,AFG,ND,2019
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,161748.16,161748.16,100.0,2.0,Member State,AFG,ND,2019
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,18271.893,18271.893,100.0,2.0,Member State,AFG,ND,2019
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,76698.016,76698.016,100.0,2.0,Member State,AFG,ND,2019
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,45926.25,45926.25,100.0,2.0,Member State,AFG,ND,2019
