L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_pop,exposed_pop,percent_exposed,geo_level,wb_status,sovereign,Disputed,year
AFG1,AFG1,Afghanistan,AFG1,Badakhshan,Arghanj Khwa,28376.61,28376.61,100.0,2.0,Member State,AFG,ND,2017
AFG10,AFG1,Afghanistan,AFG1,Badakhshan,Keshem,123868.164,123868.164,100.0,2.0,Member State,AFG,ND,2017
AFG100,AFG1,Afghanistan,AFG8,Faryab,Kohistan,79308.74,79308.74,100.0,2.0,Member State,AFG,ND,2017
AFG101,AFG1,Afghanistan,AFG8,Faryab,Maymana,117114.28,117114.28,100.0,2.0,Member State,AFG,ND,2017
AFG102,AFG1,Afghanistan,AFG8,Faryab,Pashtun kot,268043.7,268043.7,100.0,2.0,Member State,AFG,ND,2017
AFG103,AFG1,Afghanistan,AFG8,Faryab,Qaram Qol,28250.424,28250.424,100.00001,2.0,Member State,AFG,ND,2017
AFG104,AFG1,Afghanistan,AFG8,Faryab,Qaysar,207858.9,207858.9,100.0,2.0,Member State,AFG,ND,2017
AFG105,AFG1,Afghanistan,AFG8,Faryab,Qorghan,72287.266,72287.266,100.0,2.0,Member State,AFG,ND,2017
AFG106,AFG1,Afghanistan,AFG8,Faryab,Shirin Tagab,116528.945,116528.945,100.00001,2.0,Member State,AFG,ND,2017
AFG107,AFG1,Afghanistan,AFG9,Ghazni,Ab Band,27945.012,27945.012,100.0,2.0,Member State,AFG,ND,2017
AFG108,AFG1,Afghanistan,AFG9,Ghazni,Ajrestan,28799.703,28799.703,100.0,2.0,Member State,AFG,ND,2017
AFG109,AFG1,Afghanistan,AFG9,Ghazni,Andar,122865.266,122865.266,100.0,2.0,Member State,AFG,ND,2017
AFG11,AFG1,Afghanistan,AFG1,Badakhshan,Khash,55544.867,55544.867,99.99999,2.0,Member State,AFG,ND,2017
AFG110,AFG1,Afghanistan,AFG9,Ghazni,Deh Yak,53025.98,53025.98,100.0,2.0,Member State,AFG,ND,2017
AFG111,AFG1,Afghanistan,AFG9,Ghazni,Gelan,57739.566,57739.566,100.0,2.0,Member State,AFG,ND,2017
AFG112,AFG1,Afghanistan,AFG9,Ghazni,Ghazni,160321.42,160321.42,100.0,2.0,Member State,AFG,ND,2017
AFG113,AFG1,Afghanistan,AFG9,Ghazni,Giro,37641.43,37641.43,100.0,2.0,Member State,AFG,ND,2017
AFG114,AFG1,Afghanistan,AFG9,Ghazni,Jaghatu,35567.566,35567.566,100.0,2.0,Member State,AFG,ND,2017
AFG115,AFG1,Afghanistan,AFG9,Ghazni,Jaghuri,172332.0,172332.0,100.0,2.0,Member State,AFG,ND,2017
AFG116,AFG1,Afghanistan,AFG9,Ghazni,Khwaja Umari,19345.025,19345.025,100.0,2.0,Member State,AFG,ND,2017
AFG117,AFG1,Afghanistan,AFG9,Ghazni,Malestan,81656.57,81656.57,100.0,2.0,Member State,AFG,ND,2017
AFG118,AFG1,Afghanistan,AFG9,Ghazni,Muqur,48863.14,48863.14,100.0,2.0,Member State,AFG,ND,2017
AFG119,AFG1,Afghanistan,AFG9,Ghazni,Nawa,30023.924,30023.924,100.00001,2.0,Member State,AFG,ND,2017
AFG12,AFG1,Afghanistan,AFG1,Badakhshan,Khwahan,24774.184,24774.184,99.99999,2.0,Member State,AFG,ND,2017
AFG120,AFG1,Afghanistan,AFG9,Ghazni,Nawur,95521.42,95521.42,100.0,2.0,Member State,AFG,ND,2017
AFG121,AFG1,Afghanistan,AFG9,Ghazni,Qarabagh,148956.88,148956.88,100.0,2.0,Member State,AFG,ND,2017
AFG122,AFG1,Afghanistan,AFG9,Ghazni,Rashidan,17603.92,17603.92,100.0,2.0,Member State,AFG,ND,2017
AFG123,AFG1,Afghanistan,AFG9,Ghazni,Waghaz,37005.543,37005.543,100.0,2.0,Member State,AFG,ND,2017
AFG124,AFG1,Afghanistan,AFG9,Ghazni,Wali Muhammad-e- Shahid,17325.086,17325.086,100.0,2.0,Member State,AFG,ND,2017
AFG125,AFG1,Afghanistan,AFG9,Ghazni,Zana Khan,12968.897,12968.897,100.0,2.0,Member State,AFG,ND,2017
AFG126,AFG1,Afghanistan,AFG10,Ghor,Chaghcharan,194734.25,194734.25,99.99999,2.0,Member State,AFG,ND,2017
AFG127,AFG1,Afghanistan,AFG10,Ghor,Chahar Sadra,38556.105,38556.105,100.0,2.0,Member State,AFG,ND,2017
AFG128,AFG1,Afghanistan,AFG10,Ghor,Dawlat Yar,47876.742,47876.742,99.99999,2.0,Member State,AFG,ND,2017
AFG129,AFG1,Afghanistan,AFG10,Ghor,Du Lina,54850.77,54850.77,100.0,2.0,Member State,AFG,ND,2017
AFG13,AFG1,Afghanistan,AFG1,Badakhshan,Kof Ab,34364.23,34364.23,100.0,2.0,Member State,AFG,ND,2017
AFG130,AFG1,Afghanistan,AFG10,Ghor,Lal Wa Sarjangal,160015.2,160015.2,100.0,2.0,Member State,AFG,ND,2017
AFG131,AFG1,Afghanistan,AFG10,Ghor,Pasaband,136588.28,136588.28,100.0,2.0,Member State,AFG,ND,2017
AFG132,AFG1,Afghanistan,AFG10,Ghor,Saghar,50254.777,50254.777,99.99999,2.0,Member State,AFG,ND,2017
AFG133,AFG1,Afghanistan,AFG10,Ghor,Shahrak,84524.69,84524.69,100.0,2.0,Member State,AFG,ND,2017
AFG134,AFG1,Afghanistan,AFG10,Ghor,Taywarah,132554.9,132554.9,100.0,2.0,Member State,AFG,ND,2017
AFG135,AFG1,Afghanistan,AFG10,Ghor,Tolak,73344.88,73344.88,100.0,2.0,Member State,AFG,ND,2017
AFG136,AFG1,Afghanistan,AFG11,Hilmand,Baghran,110588.39,110588.39,100.0,2.0,Member State,AFG,ND,2017
AFG137,AFG1,Afghanistan,AFG11,Hilmand,Deh shu,27075.209,27075.209,100.0,2.0,Member State,AFG,ND,2017
AFG138,AFG1,Afghanistan,AFG11,Hilmand,Garm Ser,122308.52,122308.52,100.0,2.0,Member State,AFG,ND,2017
AFG139,AFG1,Afghanistan,AFG11,Hilmand,Kajaki,94468.75,94468.75,100.0,2.0,Member State,AFG,ND,2017
AFG14,AFG1,Afghanistan,AFG1,Badakhshan,Kohistan,22422.338,22422.338,100.0,2.0,Member State,AFG,ND,2017
AFG140,AFG1,Afghanistan,AFG11,Hilmand,Lashkar Gah,180241.44,180241.44,100.0,2.0,Member State,AFG,ND,2017
AFG141,AFG1,Afghanistan,AFG11,Hilmand,Musa Qaleh,79802.984,79802.984,100.0,2.0,Member State,AFG,ND,2017
AFG142,AFG1,Afghanistan,AFG11,Hilmand,Nad-e-Ali,181704.78,181704.78,100.0,2.0,Member State,AFG,ND,2017
AFG143,AFG1,Afghanistan,AFG11,Hilmand,Nahr-e-Saraj,153377.38,153377.38,100.0,2.0,Member State,AFG,ND,2017
AFG144,AFG1,Afghanistan,AFG11,Hilmand,Naw Zad,67254.914,67254.914,100.0,2.0,Member State,AFG,ND,2017
AFG145,AFG1,Afghanistan,AFG11,Hilmand,Nawa-e-Barak Zaiy,71200.06,71200.06,100.0,2.0,Member State,AFG,ND,2017
AFG146,AFG1,Afghanistan,AFG11,Hilmand,Reg(khan Neshin),29937.182,29937.182,100.0,2.0,Member State,AFG,ND,2017
AFG147,AFG1,Afghanistan,AFG11,Hilmand,Sangin,82103.1,82103.1,100.0,2.0,Member State,AFG,ND,2017
AFG148,AFG1,Afghanistan,AFG11,Hilmand,Wa Sher,22094.479,22094.479,99.99999,2.0,Member State,AFG,ND,2017
AFG149,AFG1,Afghanistan,AFG12,Hirat,Adraskan,79192.05,79192.05,100.0,2.0,Member State,AFG,ND,2017
AFG15,AFG1,Afghanistan,AFG1,Badakhshan,Koran wa Monjan,15604.075,15604.075,100.0,2.0,Member State,AFG,ND,2017
AFG150,AFG1,Afghanistan,AFG12,Hirat,Chisht-e-Sharif,36624.113,36624.113,100.0,2.0,Member State,AFG,ND,2017
AFG151,AFG1,Afghanistan,AFG12,Hirat,Farsi,46902.855,46902.855,100.0,2.0,Member State,AFG,ND,2017
AFG152,AFG1,Afghanistan,AFG12,Hirat,Ghoryan,131945.4,131945.4,100.0,2.0,Member State,AFG,ND,2017
AFG153,AFG1,Afghanistan,AFG12,Hirat,Gulran,138751.12,138751.12,100.0,2.0,Member State,AFG,ND,2017
AFG154,AFG1,Afghanistan,AFG12,Hirat,Guzara,219713.5,219713.5,100.0,2.0,Member State,AFG,ND,2017
AFG155,AFG1,Afghanistan,AFG12,Hirat,Hirat,220449.95,220449.95,100.0,2.0,Member State,AFG,ND,2017
AFG156,AFG1,Afghanistan,AFG12,Hirat,Injil,817456.75,817456.75,100.0,2.0,Member State,AFG,ND,2017
AFG157,AFG1,Afghanistan,AFG12,Hirat,Karukh,100562.84,100562.84,100.0,2.0,Member State,AFG,ND,2017
AFG158,AFG1,Afghanistan,AFG12,Hirat,Kohsan,79985.4,79985.4,100.0,2.0,Member State,AFG,ND,2017
AFG159,AFG1,Afghanistan,AFG12,Hirat,Kushk,185164.83,185164.83,99.99999,2.0,Member State,AFG,ND,2017
AFG16,AFG1,Afghanistan,AFG1,Badakhshan,Raghistan,60451.438,60451.438,100.00001,2.0,Member State,AFG,ND,2017
AFG160,AFG1,Afghanistan,AFG12,Hirat,Kushk-e-Kohna,67703.3,67703.3,100.0,2.0,Member State,AFG,ND,2017
AFG161,AFG1,Afghanistan,AFG12,Hirat,Obe,114501.12,114501.12,100.0,2.0,Member State,AFG,ND,2017
AFG162,AFG1,Afghanistan,AFG12,Hirat,Pashtun  Zarghun,150772.45,150772.45,100.0,2.0,Member State,AFG,ND,2017
AFG163,AFG1,Afghanistan,AFG12,Hirat,Shindand,274751.75,274751.75,100.0,2.0,Member State,AFG,ND,2017
AFG164,AFG1,Afghanistan,AFG12,Hirat,Zinda Jan,91405.81,91405.81,100.0,2.0,Member State,AFG,ND,2017
AFG165,AFG1,Afghanistan,AFG13,Jawzjan,Aqcha,77201.31,77201.31,100.0,2.0,Member State,AFG,ND,2017
AFG166,AFG1,Afghanistan,AFG13,Jawzjan,Darz Ab,62017.094,62017.094,100.0,2.0,Member State,AFG,ND,2017
